CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)	EC_corporate_code	EC_corporate_uri
D4_S1313	Property income, of which payable to subsector S1313	Revenus de la propriété, dont à payer au sous-secteur S1313	Vermögenseinkommen, davon zu leistende an den Teilsektor S1313				
D4_S1314	Property income, of which payable to subsector S1314	Revenus de la propriété, dont à payer au sous-secteur S1314	Vermögenseinkommen, davon zu leistende an den Teilsektor S1314				
D62_D632	Social benefits other than social transfers in kind and social transfers in kind - purchased market production	Prestations sociales autres que transferts sociaux en nature et transferts sociaux en nature - production marchande achetée	Monetäre Sozialleistungen und soziale Sachleistungen - gekaufte Marktproduktion				
D62	Social benefits other than social transfers in kind	Prestations sociales autres que transferts sociaux en nature	Monetäre Sozialleistungen				
D632	Social transfers in kind - purchased market production	Transferts sociaux en nature - production marchande achetée	Soziale Sachleistungen - gekaufte Marktproduktion				
D7	Other current transfers	Autres transferts courants	Sonstige laufende Transfers				
D7_S1311	Other current transfers,of which payable to subsector S1311	Autres transferts courants, dont à payer au sous-secteur S1311	Sonstige laufende Transfers, davon zu leistende an den Teilsektor S1311				
D7_S1312	Other current transfers,of which payable to subsector S1312	Autres transferts courants, dont à payer au sous-secteur S1312	Sonstige laufende Transfers, davon zu leistende an den Teilsektor S1312				
D7_S1313	Other current transfers,of which payable to subsector S1313	Autres transferts courants, dont à payer au sous-secteur S1313	Sonstige laufende Transfers, davon zu leistende an den Teilsektor S1313				
D7_S1314	Other current transfers,of which payable to subsector S1314	Autres transferts courants, dont à payer au sous-secteur S1314	Sonstige laufende Transfers, davon zu leistende an den Teilsektor S1314				
D9	Capital transfers	Transferts en capital	Vermögenstransfers				
D92	Investment grants	Aides à l'investissement	Investitionszuschüsse				
D9_S1311	Capital transfers, expenditure, of which to subsector central government (S1311)	Transferts en capital, dépenses, dont au sous-secteur de l’administration centrale (S1311)	Vermögenstransfers, Ausgaben, davon an den Teilsektor Zentralstaat (S1311)				
D9_S1312	Capital transfers, expenditure, of which to subsector state government (S1312)	Transferts en capital, dépenses, dont au sous-secteur administrations d’États fédérés (S1312)	Vermögenstransfers, Ausgaben, davon an den Teilsektor Länder (S1312)				
D9_S1313	Capital transfers, expenditure, of which to subsector local government (S1313)	Transferts en capital, dépenses, dont au sous-secteur des administrations locales (S1313)	Vermögenstransfers, Ausgaben, davon an den Teilsektor Gemeinden (S1313)				
D9_S1314	Capital transfers, expenditure, of which to subsector social security funds (S1314)	Transferts en capital, dépenses, dont au sous-secteur des administrations de sécurité sociale (S1314)	Vermögenstransfers, Ausgaben, davon an den Teilsektor Sozialversicherung (S1314)				
OP5ANP	Gross capital formation and acquisitions less disposals of non-financial non-produced assets	Formation brute de capital et acquisitions moins cessions d'actifs non financiers non produits	Bruttoinvestitionen und Nettozugang an nicht produzierten Vermögensgütern				
NP	Acquisitions less disposals of non-financial non-produced assets	Acquisitions moins cessions d'actifs non financiers non produits	Nettozugang an nichtproduzierten nichtfinanziellen Vermögensgütern				
IN	Primary incomes and current transfers	Revenus primaires et transferts courants	Primäreinkommen und laufende Transfers				
IN1	Primary income	Revenus primaires	Primäreinkommen				
IN2	Secondary income	Revenus secondaires	Sekundäreinkommen				
IN21	Secondary income: current transfers	Revenus secondaires: transferts courants	Sekundäreinkommen: Laufende Transfers				
TE	Total general government expenditure	Total des dépenses des administrations publiques	Gesamtausgaben des Staates				
P51C	Consumption of fixed capital	Consommation de capital fixe	Abschreibungen				
B2A3N	Operating surplus and mixed income, net	Excédent d'exploitation et revenu mixte, net	Nettobetriebsüberschuss und Nettoselbständigeneinkommen				
D29X39	Other taxes less other subsidies on production	Autres impôts moins autres subventions sur la production	Sonstige produktionsabgaben abzüglich sonstiger Subventionen				
YA1	Statistical discrepancy (production approach)	Divergence statistique: optique de la production	Statistische Diskrepanz: Produktionsansatz				
YA0	Statistical discrepancy (expenditure approach)	Divergence statistique: optique des dépenses	Statistische Diskrepanz: Ausgabenansatz				
YA2	Statistical discrepancy (income approach)	Divergence statistique: optique des revenus	Statistische Diskrepanz: Einkommensansatz				
P311_S14	Final consumption expenditure of households, durable goods	Dépense de consommation finale des ménages, biens durables	Konsumausgaben der privaten Haushalte, langlebige Güter				
P312_S14	Final consumption expenditure of households, semi-durable goods	Dépense de consommation finale des ménages, biens semi-durables	Konsumausgaben der privaten Haushalte, mittellebige Güter				
P313_S14	Final consumption expenditure of households, non-durable goods	Dépense de consommation finale des ménages, biens non-durables	Konsumausgaben der privaten Haushalte, kurzlebige Güter				
P314_S14	Final consumption expenditure of households, services	Dépense de consommation finale des ménages, services	Konsumausgaben der privaten Haushalte, Dienstleistungen				
P312N_S14	Final consumption expenditure of households, semi-durable goods, non-durable goods and services	Dépense de consommation finale des ménages, biens semi-durables, biens non-durables et services	Konsumausgaben der privaten Haushalte, mittellebige und kurzlebige Güter und Dienstleistungen				
P6_S21	Exports of goods and services to the European Union	Exportations de biens et de services à destination de l'Union européenne	Exporte von Waren und Dienstleistungen in die Europäische Union				
P6_S211	Exports of goods and services to the EU Member States	Exportations de biens et de services à destination de l'Union européenne	Exporte von Waren und Dienstleistungen in die Europäische Union				
P6_S2111	Exports of goods and services to members of the Monetary Union	Exportations de biens et de services à destination des membres de l'Union monétaire	Exporte von Waren und Dienstleistungen in Mitglieder der Währungsunion				
P6_S2112	Exports of goods and services to non-members of the Monetary Union	Exportations de biens et de services vers les non-membres de l'Union monétaire	Exporte von Waren und Dienstleistungen in Nichtmitglieder der Währungsunion				
P6_S212	Exports of goods and services to the institutions of the EU	Exportations de biens et de services vers les institutions de l'UE	Exporte von Waren und Dienstleistungen in EU-Institutionen				
P6_S22	Exports of goods and services to third countries and international organisations	Exportations de biens et de services vers les pays tiers et les organisations internationales	Exporte von Waren und Dienstleistungen in Drittländer und internationale Organisationen				
P7_S21	Imports of goods and services from the European Union	Importations de biens et services en provenance de l'Union européenne	Importe von Waren und Dienstleistungen aus der Europäischen Union				
P7_S211	Imports of goods and services from the EU Member States	Importations de biens et services en provenance des Etats membres de l'Union européenne	Importe von Waren und Dienstleistungen aus EU-Mitgliedstaaten				
P7_S2111	Imports of goods and services from members of the Monetary Union	Importations de biens et services en provenance des membres de l'Union monétaire	Importe von Waren und Dienstleistungen aus Mitgliedern der Währungsunion				
P7_S2112	Imports of goods and services from non-members of the Monetary Union	Importations de biens et services en provenance des non-membres de l'Union monétaire	Importe von Waren und Dienstleistungen aus Währungsunion nicht-Staaten				
P7_S212	Imports of goods and services from the institutions of the EU	Importations de biens et services des institutions de l'UE	Importe von Waren und Dienstleistungen aus EU-Institutionen				
P7_S22	Imports of goods and services from third countries and international organisations	Importations de biens et services en provenance de pays tiers et organisations internationales	Importe von Waren und Dienstleistungen aus Drittländern und internationalen Organisationen				
P31_S14_NC	Final consumption expenditure of households (national concept)	Dépense de consommation finale des ménages (concept national)	Konsumausgaben der privaten Haushalte (Inländerkonzept)				
P33	Final consumption expenditure of resident households in the rest of the world - total	Dépense de consommation finale des ménages résidents dans le reste du monde - total	Konsumausgaben der gebietsansässigen privaten Haushalte in der Übrigen Welt - insgesamt				
P34	Final consumption expenditure of non-resident households on the economic territory - total	Dépense de consommation finale des ménages non-résidents sur le territoire économique - total	Konsumausgaben der gebietsfremden privaten Haushalte im Inland - insgesamt				
P31_S14_DC	Final consumption expenditure of households (domestic concept)	Dépense de consommation finale des ménages (concept intérieur)	Konsumausgaben der privaten Haushalte (Inlandskonzept)				
EMP_NC	Total employment national concept	Emploi total - concept national	Erwerbstätigkeit insgesamt - Nationalkonzept				
POP_NC	Total population national concept	Population totale - concept national	Bevölkerung insgesamt - Nationalkonzept				
SAL_NC	Employees national concept	Salariés - concept national	Arbeitnehmer - Nationalkonzept				
SELF_NC	Self-employed national concept	Indépendants - concept national	Selbständige - Nationalkonzept				
EMP_DC	Total employment domestic concept	Emploi total - concept intérieur	Erwerbstätigkeit insgesamt - Inlandskonzept				
SAL_DC	Employees domestic concept	Salariés - concept intérieur	Arbeitnehmer - Inlandskonzept				
SELF_DC	Self-employed domestic concept	Indépendants - concept intérieur	Selbständige - Inlandskonzept				
F	Total financial assets/liabilities	Total financier avoirs/engagements	Insgesamt finanzielle Forderungen/Verbindlichkeiten				
F_FDI	Total financial assets/liabilities, of which foreign direct investment	Total financiers avoirs/engagements, y compris en investissements directs étrangers	Ingesamt finanzielle Forderungen/Verbindlichkeiten, davon in Direktinvestitionen				
F_TR	Net acquisition of financial assets/net incurrence of liabilities	Acquisition nette d'actifs financiers/accroissement net des passifs	Nettozugang an Forderungen/ Nettozugang an Verbindlichkeiten				
F_NAC	Total financial assets/liabilities, of which in national currency	Total financier avoirs/engagements, y compris en monnaie nationale	Insgesamt finanzielle Forderungen/Verbindlichkeiten, davon in nationaler Währung				
F1	Monetary gold and special drawing rights (SDRs)	Or monétaire et droits de tirage spéciaux (DTS)	Währungsgold und Sonderziehungsrechte (SZR)				
F1_NAC	Monetary gold and special drawing rights (SDRs), of which in national currency	Or monétaire et droits de tirage spéciaux (DTS), y compris en monnaie nationale	Währungsgold und Sonderziehungsrechte (SZR), davon in nationaler Währung				
F11	Monetary gold	Or monétaire	Währungsgold				
F12	Special drawing rights (SDRs)	Droits de tirage spéciaux (DTS)	Sonderziehungsrechte (SZR)				
F2	Currency and deposits	Monnaies et dépôts	Bargeld und Einlagen				
F2_NAC	Currency and deposits, of which in national currency	Monnaies et dépôts, y compris en monnaie nationale	Bargeld und Einlagen, davon in nationaler Währung				
F21	Currency	Monnaies	Bargeld				
F22_F29	Transferable deposits; other deposits	Dépôts transférables; autres dépôts	Sichteinlagen; sonstige Einlagen				
F22	Transferable deposits	Dépôts transférables	Sichteinlagen				
F221	Interbank positions	Positions interbancaires	Interbank-Positionen				
F229	Other transferable deposits	Autres dépôts transférables	Andere übertragbare Einlagen				
F29	Other deposits	Autres dépôts	Sonstige Einlagen				
F2_F8	Total financial sector liabilities (excluding SDRs)	Passifs du secteur financier (DTS exclus)	Verbindlichkeiten des Sektors finanzielle (ohne SZR)				
F3	Debt securities	Titres de créance	Schuldverschreibungen				
F3_FDI	Debt securities, of which foreign direct investment	Titres de créance, y compris en investissements directs étrangers	Schuldverschreibungen, davon in Direktinvestitionen				
F3_NAC	Debt securities, of which in national currency	Titres de créance, y compris en monnaie nationale	Schuldverschreibungen, davon in nationaler Währung				
F31	Short-term debt securities	Titres de créance à court terme	Kurzfristige Schuldverschreibungen				
F32	Long-term debt securities	Titres de créance à long terme	Langfristige Schuldverschreibungen				
F32_LESSY	Long-term debt securities - with remaining maturity of one year or less	Titres de créance à long terme - avec une échéance résiduelle inférieure ou égale à un an	Langfristige Schuldverschreibungen – Fälligkeit bis zu einem Jahr				
F32_OVERY	Long-term debt securities - with remaining maturity of more than one year	Titres de créance à long terme - avec une échéance résiduelle supérieure à un an	Langfristige Schuldverschreibungen – Fälligkeit mehr als ein Jahr				
F3_F4	Securities other than shares, loans	Titres autres qu'actions, crédits	Wertpapiere (ohne Anteilsrechte) und Finanzderivate, Kredite				
F3_F4_X_FDI	Securities other than shares, loans, excluding foreign direct investments	Titres autres que les actions, prêts, hors investissements directs étrangers	Andere Sicherheiten als Aktien und Anleihen, ohne Fremddirektinvestitionen				
F4	Loans	Crédits	Kredite				
F4_FDI	Loans, of which foreign direct investment	Crédits, y compris en investissements directs étrangers	Kredite, davon in Direktinvestitionen				
F4_NAC	Loans, of which in national currency	Crédits, y compris en monnaie nationale	Kredite, davon in nationaler Währung				
F41	Short-term - loans	Crédits à court terme	Kurzfristige Kredite				
F41D	Short-term loans - of which: repurchase agreement, securities lending & margin lending	Crédits à court terme - engagement de rachat, prêts de titres, prêts sur marge	Kurzfristige Kredite – Davon: Rückkaufsvereinbarung, Wertpapierleihe & Lombardgeschäfte				
F42	Long-term - loans	Crédits à long terme	Langfristige Kredite				
F42_LESSY	Long-term loans - with remaining maturity of one year or less	Crédits à long terme - avec une échéance résiduelle inférieure ou égale à un an	Langfristige Kredite - Fälligkeit bis zu einem Jahr				
F42_OVERY	Long-term loans - with remaining maturity of more than one year	Crédits à long terme - avec une échéance résiduelle supérieure à un an	Langfristige Kredite - Fälligkeit mehr als ein Jahr				
F5	Equity and investment fund shares	Actions et parts de fonds d'investissement	Anteilsrechte und Anteile an Investmentfonds				
F5_NAC	Equity and investment fund shares, of which in national currency	Actions et parts de fonds d'investissement, y compris en monnaie nationale	Anteilsrechte und Anteile an Investmentfonds, davon in nationaler Währung				
F51	Equity	Actions	Anteilsrechte				
F51_FDI	Equity, of which foreign direct investment	Actions, y compris en investissements directs étrangers	Anteilsrechte, davon in Direktinvestitionen				
F51M_FDI	Unlisted shares and other equity, of which foreign direct investment	Actions non cotées et autres participations, y compris en investissements directs étrangers	Nicht börsennotierte Aktien und sonstige Anteilsrechte, davon in Direktinvestitionen				
F511	Listed shares	Actions cotées	Börsennotierte Aktien				
F511_FDI	Listed shares, of which foreign direct investment	Actions cotées, y compris en investissements directs étrangers	Börsennotierte Aktien, davon in Direktinvestitionen				
F512_F519	Unlisted shares; other equity	Actions non cotées; autres participations	Nicht börsennotierte Aktien; sonstige Anteilsrechte				
F512	Unlisted shares	Actions non cotées	Nicht börsennotierte Aktien				
F519	Other equity	Autres participations	Sonstige Anteilsrechte				
F52	Investment fund shares/units	Parts de fonds d'investissement	Anteile an Investmentfonds				
F521	Money market fund shares /units	Parts de fonds d'investissement monétaires	Anteile an Geldmarktfonds				
F522	Non-money market fund shares/units	Parts de fonds d'investissement non monétaires	Anteile an Investmentfonds ohne Geldmarktfonds				
F6	Insurance, pensions and standardised guarantees	Droits sur les provisions techniques d'assurance, sur les fonds de pension et sur les réserves de garanties standard	Versicherungs-, Alterssicherungs- und Standardgarantie-Systeme				
F6_NAC	Insurance, pensions and standardised guarantees, of which in national currency	Droits sur les provisions techniques d'assurance, sur les fonds de pension et sur les réserves de garanties standard, y compris en monnaie nationale	Versicherungs-, Alterssicherungs- und Standardgarantie-Systeme, davon in nationaler Währung				
F61	Non-life insurance technical reserves	Provisions techniques d'assurance-dommage	Ansprüche privater Haushalte aus Rückstellungen bei Nichtlebensversicherungen				
F61_F66	Non life insurance technical reserves, and provisions for calls under standardised guarantees	Provisions techniques d'assurance-dommage, et Réserves pour appels dans le cadre de garanties standard	Ansprüche privater Haushalte aus Rückstellungen bei Nichtlebensversicherungen, und Rückstellungen für Forderungen im Rahmen standardisierter Garantien				
F62	Life insurance and annuity entitlements	Droits sur les assurances vie et rentes	Ansprüche privater Haushalte aus Rückstellungen bei Lebensversicherungen				
F62A	Life insurance and annuity entitlements, unit linked	Droits sur les assurances vie et rentes, en unités de compte	Ansprüche privater Haushalte aus Rückstellungen bei Lebensversicherungen, anteilsgebundene				
F62B	Life insurance and annuity entitlements, non-unit linked	Droits sur les assurances vie et rentes, non lié à une unité	Ansprüche privater Haushalte aus Rückstellungen bei Lebensversicherungen, nicht anteilsgebundene				
F63	Pension entitlements	Droits à pension	Ansprüche privater Haushalte aus Rückstellungen bei Alterssicherungssystemen				
F63A	Pension entitlements, defined contribution	Droits à pension, élément de cotisations définies	Ansprüche privater Haushalte aus Rückstellungen bei Alterssicherungssysteme, Beitragszusagen				
F63B	Pension entitlements, defined benefit	Droits à pension, élément de prestations définies	Ansprüche privater Haushalte aus Rückstellungen bei Alterssicherungssysteme, Leistungszusagen				
F63_LS	Pension entitlements in opening balance sheet	Droits à pension dans le bilan d'ouverture	Pensionsansprüche in der Bilanz am Jahresanfang				
F63_F64_F65	Pension entitlements, claims of pension funds on pension managers and entitlements to non-pension benefits	Droits à pension, droits des fonds de pension sur les gérants des systèmes de pension et droits à des prestations autres que de pension	Ansprüche privater Haushalte aus Rückstellungen bei Alterssicherungssystemen, Ansprüche von Alterssicherungssystemen an die Träger von Alterssicherungssystemen und Ansprüche auf andere Leistungen als Alterssicherungsleistungen				
F64	Claims of pension funds on pension managers	Droits des fonds de pension sur les gérants des systèmes de pension	Ansprüche von Alterssicherungssystemen an die Träger von Alterssicherungssystemen				
F65	Entitlements to non-pension benefits	Droits à des prestations autres que de pension	Ansprüche auf andere Leistungen als Alterssicherungsleistunge				
F64_F65	Claims of pension funds on pension managers and entitlements to non-pension benefits	Droits des fonds de pension sur les gérants des systèmes de pension et droits à des prestations autres que de pension	Ansprüche von Alterssicherungssystemen an die Träger von Alterssicherungssystemen, und Ansprüche auf andere Leistungen als Alterssicherungsleistunge				
F66	Provisions for calls under standardised guarantees	Réserves pour appels dans le cadre de garanties standard	Rückstellungen für Forderungen im Rahmen standardisierter Garantien				
F7	Financial derivatives and employee stock options	Produits financiers dérivés et options sur titres des salariés	Finanzderivate und Mitarbeiteraktienoptionen				
F7_NAC	Financial derivatives and employee stock options, of which in national currency	Produits financiers dérivés et options sur titres des salariés, y compris en monnaie nationale	Finanzderivate und Mitarbeiteraktienoptionen, davon in nationaler Währung				
F71	Financial derivatives	Produits financiers dérivés	Finanzderivate				
F711	Options	Options	Optionen				
F712	Forwards	Contrats à terme	Devisentermingeschäfte				
F72	Employee stock options	Options sur titres des salariés	Mitarbeiteraktienoptionen				
F8	Other accounts receivable/payable	Autres comptes à recevoir/à payer	Übrige Forderungen/Verbindlichkeiten				
F8_FDI	Other accounts receivable/payable, of which foreign direct investment	Autres comptes à recevoir/à payer, y compris en investissements directs étrangers	Übrige Forderungen/Verbindlichkeiten, davon in Direktinvestitionen				
F8_NAC	Other accounts receivable/payable, of which in national currency	Autres comptes à recevoir/à payer, y compris en monnaie nationale	Übrige Forderungen/Verbindlichkeiten, davon in nationaler Währung				
F81	Trade credits and advances	Crédits commerciaux et avances	Handelskredite und Anzahlungen				
F81_FDI	Trade credits and advances, of which foreign direct investment	Crédits commerciaux et avances, y compris en investissements directs étrangers	Handelskredite und Anzahlungen, davon in Direktinvestitionen				
F89	Other accounts receivable/payable, excluding trade credits and advances	Autres comptes à recevoir, à l'exclusion des crédits commerciaux et avances	Übrige Forderungen (ohne Handelskredite und Anzahlungen)				
F89_FDI	Other accounts receivable/payable, excluding trade credits and advances, of which foreign direct investment	Autres comptes à recevoir, à l’exclusion des crédits commerciaux et avances, y compris en investissements directs étrangers	Übrige Forderungen/Verbindlichkeiten (ohne Handelskredite und Anzahlungen), davon in Direktinvestitionen				
F_OTH	Other assets/other liabilities	Autres actifs/autres passifs	Sonstige Vermögensgegenstände/Sonstige Verbindlichkeiten				
B9F	Net financial transactions	Opérations financières nettes	Finanzielle Transaktionen (netto)				
B9X9F	Discrepancy with the financial net lending/net borrowing	Écart avec capacité de financement (+)/besoin de financement (-)	Abweichung der Finanzierungssaldo				
B9FX9	Discrepancy with the financial net lending/net borrowing (B9F-B9)	Écart avec capacité de financement (+)/besoin de financement (-)	Abweichung der Finanzierungssaldo				
BF90	Financial net worth	Valeur nette financière	Finanzielles Reinvermögen				
B102	Changes in net worth due to other changes in volume of assets	Variations de la valeur nette dues aux autres changements de volume d'actifs	Reinvermögensänderung durch sonstige reale Vermögensänderungen				
B103	Changes in net worth due to nominal holding gains and losses	Variations de la valeur nette dues aux gains/pertes nominaux de détention	Reinvermögensänderung durch Umbewertung				
D1_SAL_PER	Compensation per employee	Rémunération par salarié	Entgelt pro Arbeitnehmer				
D1_SAL_HW	Compensation of employees per hour worked	Rémunération par salarié par heure travaillée	Arbeitnehmerentgelt per Entgelt pro Arbeitsstunde				
NLPR_PER	Nominal labour productivity per person	Productivité nominale du travail par personne employée	Nominale Arbeitsproduktivität je Erwerbstätigen				
NLPR_HW	Nominal labour productivity per hour worked	Productivité nominale du travail par heures travaillées	Nominale Arbeitsproduktivität je Arbeitsstunde				
RLPR_PER	Real labour productivity per person	Productivité réelle du travail par personne employée	Reale Arbeitsproduktivität je Erwerbstätigen				
RLPR_HW	Real labour productivity per hour worked	Productivité réelle du travail par heures travaillées	Reale Arbeitsproduktivität je Arbeitsstunde				
NULC_PER	Nominal unit labour cost based on persons	Coût salarial unitaire nominal (basé sur les personnes)	Nominale Lohnstückkosten (auf Basis von Personen)				
NULC_HW	Nominal unit labour cost based on hours worked	Coût salarial unitaire nominal (basée sur les heures travaillées)	Nominale Lohnstückkosten (auf Basis von Arbeitsstunden)				
B1N	Value added, net	Valeur ajoutée, nette	Nettowertschöpfung				
B2N	Net operating surplus	Excédent net d'exploitation	Nettobetriebsüberschuss				
B5N	Balance of primary incomes/national income, net	Solde des revenues primaires/revenu national, net	Primäreeinkommen/Nationaleinkommen, netto				
B6N	Disposable income, net	Revenu disponible, net	Verfügbares Einkommen (Ausgabenkonzept), netto				
B8G	Saving, gross	Épargne , brute	Sparen, brutto				
B8N	Saving, net	Épargne, nette	Sparen, netto				
B9	Net lending (+)/net borrowing (-)	Capacité de financement (+)/besoin de financement (-)	Finanzierungsüberschuss (+)/Finanzierungsdefizit (-)				
D1PAY	Compensation of employees, expenditure	Rémunération des salariés, dépenses	Arbeitnehmerentgelt, Ausgaben				
D2_D5_D91	Total tax receipts	Total des impôts	Steuereinnahmen insgesamt				
D2_D5_D91_D61_M_D611V_D612_M_M_D613V_D614_M_D995	Total receipts from taxes and compulsory social contributions after deduction of amounts assessed but unlikely to be collected	Produit total des impôts et cotisations sociales obligatoires après déduction des montants dus non recouvrables	Gesamteinnahmen aus Steuern und Pflichtsozialbeiträgen nach Abzug der veranlagten Beträge, deren Einziehung unwahrscheinlich ist				
D2_D5_D91_D61_M_D612_M_D614_M_D995	Total receipts from taxes and social contributions after deduction of amounts assessed but unlikely to be collected	Recettes totales provenant des impôts et cotisations sociales après déduction des montants notifiés mais non susceptibles d'être perçus	Gesamteinnahmen aus Steuern und Sozialbeiträgen nach Abzug der veranlagten Beträge, deren Einziehung unwahrscheinlich ist				
